attend,termGPA,priGPA,ACT,final,frosh,soph,hw
30,2.92,2.56,16,20,0,1,8
23,2.5,2.36,20,26,0,1,6
24,2.14,2.59,25,25,0,1,5
32,3.22,3.17,25,28,0,1,6
20,2.39,2.61,19,23,0,1,6
26,3.15,2.95,18,27,0,1,8
27,1.75,2.2,20,26,0,1,7
24,1.75,2.52,28,25,0,0,6
30,2.81,2.55,22,25,0,1,8
31,3.05,2.9,25,27,0,1,8
23,2.27,2.53,26,21,0,1,6
25,2.92,2.27,19,28,0,1,8
29,2.5,2.71,23,26,0,1,7
28,3.71,2,26,34,1,0,8
20,1.5,2.29,21,21,0,0,3
31,2.11,1.96,24,22,0,1,8
31,3.28,2.46,18,34,0,0,8
23,1.6,2.18,20,27,0,1,8
25,3.33,3.05,23,30,0,1,8
28,2.04,2.47,22,23,1,0,8
29,2.86,2.76,25,27,0,1,8
17,0.821,1.75,17,22,1,0,1
28,2.46,2.74,21,30,0,1,7
32,4,3.07,19,35,0,1,8
20,1.36,1.91,22,21,0,0,6
2,0,2.25,25,20,0,1,3
21,1.83,2.03,17,22,0,0,4
28,3.75,3.06,30,33,0,0,8
26,1.65,2.26,17,30,1,0,6
24,3,3.19,28,20,0,1,8
31,2.67,2.57,20,20,0,1,8
29,2.87,2.74,17,30,0,0,8
21,2.31,2.17,22,23,1,0,8
24,2.63,3.3,26,25,0,1,8
20,1.83,2.53,27,27,0,1,5
30,2,2.07,23,19,0,1,7
31,3.59,3.25,25,30,0,1,8
32,2.88,2.82,23,19,0,1,8
23,1.93,2.45,20,31,0,1,7
30,2.7,3.02,20,28,0,1,8
28,2.69,2.84,23,21,0,1,7
25,3.38,3.39,23,25,0,1,7
28,2.5,0.857,18,30,0,1,8
24,3.53,2.31,32,32,0,0,8
26,2.15,2.96,16,20,0,1,8
25,2.68,2.38,21,23,1,0,8
27,2.71,2.15,20,24,0,1,8
23,2.62,1.9,23,29,1,0,8
29,2.19,1.8,19,19,1,0,7
22,2.68,1.74,21,29,0,1,8
28,2.75,2.22,21,26,0,1,5
25,1.6,2.49,21,19,0,0,4
25,2.38,2.92,20,20,0,0,8
27,2.3,1.98,22,27,0,0,7
23,3.36,1.83,17,30,1,0,8
32,3.25,3.28,21,26,0,1,8
27,1.5,1.98,16,23,1,0,5
31,2.96,3.02,19,25,0,1,7
25,3.1,2.87,26,20,0,1,5
26,2.04,2.75,19,26,0,1,8
29,3.21,3.45,30,31,0,1,8
28,3.12,3.21,24,22,0,1,8
30,1.5,2.43,18,32,0,0,8
29,1.96,2.56,23,16,1,0,6
29,3.34,3.42,22,24,0,1,8
28,2.9,2.43,21,22,0,1,8
32,3.65,3.49,23,31,0,0,8
25,3.03,2.34,22,25,0,1,6
28,2.68,2.48,28,27,1,0,5
28,2.43,3.21,23,26,1,0,6
24,1.5,2.1,17,24,0,1,8
29,2.97,2.82,25,28,0,1,8
30,3.71,3.22,27,37,0,1,7
29,2.27,2.1,19,21,0,1,8
28,2.68,1.67,22,31,1,0,7
25,3.63,3.64,26,32,0,1,8
30,2.59,2.45,25,29,0,1,8
32,2.77,2.53,20,29,0,0,8
29,3.3,2.39,16,27,1,0,8
28,2.13,2.63,20,23,1,0,7
24,2.35,2.54,24,30,0,0,7
26,3.46,3.54,27,29,0,1,8
3,2.08,1.85,22,23,0,1,7
15,3.05,2.44,24,32,0,0,6
31,3.55,3.31,22,28,0,1,8
25,2.13,2.35,20,30,0,1,4
27,2.38,2.22,20,22,0,0,8
27,3.73,3.2,25,37,0,0,8
27,2.13,2.58,21,17,0,1,8
29,3.71,3.61,26,31,0,1,8
32,2.55,2.46,18,24,1,0,6
23,3.13,3.34,28,26,0,0,8
32,3.19,3.13,17,23,1,0,7
28,2.59,2.79,26,28,0,1,8
31,2.79,2.36,23,27,1,0,8
25,3,3.29,28,30,0,1,8
30,2.75,2.37,20,24,1,0,7
24,3.25,3.57,29,30,0,1,8
22,0.7,2.07,28,28,1,0,1
31,3.21,3.2,27,30,1,0,8
16,1.81,1.98,23,25,1,0,0
28,3.21,2.8,22,22,0,1,8
31,3,2.98,18,22,0,1,8
21,1.85,2.85,22,21,0,0,6
9,2,1.95,20,26,1,0,3
24,1.35,1.89,21,22,1,0,6
31,3.04,3.29,19,32,1,0,8
28,3.18,2.76,25,26,1,0,8
26,3.36,1.78,23,34,0,1,8
31,3,2.89,20,26,0,1,8
20,2.88,1.95,25,26,0,1,7
23,3.04,2.48,27,30,0,1,8
29,2.73,2.3,16,24,1,0,8
32,2.78,1.86,21,34,1,0,7
32,2.96,2.7,24,30,0,1,7
29,2.25,2.28,15,26,1,0,7
28,2.11,2.69,19,19,0,1,7
31,3.27,2.47,25,34,0,0,8
28,2.23,2.67,19,22,1,0,8
31,2.94,2.4,22,22,1,0,8
30,4,3.45,30,36,0,0,8
27,2.32,2.35,21,27,1,0,7
25,3.41,2.92,23,24,0,0,8
27,2.29,2.73,18,26,0,1,8
25,1.54,2.68,19,22,0,1,7
32,3.56,3.52,23,31,0,1,8
10,1,1.41,23,20,1,0,1
25,2.94,2.94,20,30,0,0,8
31,3.14,3.32,23,22,0,1,8
29,2.75,2.91,19,22,0,1,6
27,2.23,2.13,24,26,1,0,8
30,3.8,3.11,24,29,0,1,8
32,3.54,2.94,16,22,1,0,8
31,3.75,3.53,26,31,0,1,8
32,3.5,2.83,22,27,0,1,8
29,2.62,2.66,26,23,0,1,7
24,1.76,2.12,23,26,0,1,4
21,2.36,2.2,19,22,0,1,7
21,2.46,2.25,26,24,1,0,8
32,3.73,3.22,28,32,0,1,8
28,3.23,2.95,21,26,0,1,8
32,2.61,2.66,17,31,0,1,7
28,2.63,2.41,20,25,0,1,8
28,3.08,2.59,19,27,0,1,8
30,1.38,2.55,19,17,0,1,8
30,3.54,3.48,28,29,0,1,8
28,3.15,2.91,23,26,1,0,7
29,2.21,2.28,18,26,0,1,8
17,2.18,2.49,30,24,0,0,5
32,3.1,2.94,23,25,0,0,8
26,2.62,3.11,27,24,0,1,8
31,2.4,2.69,23,28,1,0,8
30,3.6,3.36,28,21,0,1,8
26,2.04,2.12,22,32,0,1,8
29,3.12,2.41,23,28,0,0,8
28,3.19,2.3,19,22,0,1,8
25,1.97,2.07,24,24,0,1,8
32,3,3.18,25,33,0,1,8
31,3.36,2.62,27,28,1,0,8
24,1.79,1.74,24,25,1,0,8
27,2.97,3.15,28,27,0,1,8
23,2.67,2.31,22,27,0,1,7
29,3.16,2.84,20,26,0,1,7
26,2.5,2.07,23,22,0,1,6
22,1.71,2.13,20,21,0,1,7
29,2.73,2.55,24,27,0,1,8
29,3.58,2.79,28,30,0,0,8
27,2.21,2.39,20,26,0,1,8
18,1.75,2.19,22,21,0,1,5
27,2.11,2.14,20,23,0,1,8
29,4,3.84,28,37,0,1,7
23,3.14,3.21,22,24,0,1,7
25,2.92,2.68,20,27,0,1,6
28,2.29,2.46,19,19,0,1,8
30,2.96,2.34,24,25,0,1,8
24,2.07,2.62,25,21,1,0,8
30,1.8,2.61,20,30,0,0,8
32,3.73,3.81,32,38,0,1,7
28,2.31,2.42,18,19,1,0,8
29,2.39,2.45,20,25,0,1,8
25,2.96,2.93,28,35,0,1,8
31,3.62,3.48,24,32,0,1,8
31,3.12,2.96,22,29,0,1,8
30,2.31,2.36,19,30,0,1,8
23,1.71,2.89,24,22,0,1,8
31,2.69,3.02,26,29,0,0,6
32,2.43,2.59,16,21,0,1,7
32,2.55,2.57,15,20,1,0,8
30,2.77,2.53,24,29,0,1,8
28,3.4,3.66,29,26,0,1,8
26,2.5,2.1,17,21,0,0,7
24,3,1.81,22,30,0,1,6
28,2.25,2.39,16,19,0,0,8
15,2.5,2.03,26,24,0,1,4
28,2.05,2.59,22,24,0,1,7
29,1.38,1.92,16,16,1,0,8
27,2.73,1.85,23,25,1,0,7
28,3.3,3.54,26,33,0,0,2
31,2.79,2.57,19,31,0,1,8
29,3.31,3.27,26,27,0,1,8
30,1.79,2.44,20,14,0,1,6
24,2.97,2.37,22,31,1,0,8
31,2.13,2.63,19,14,0,0,8
28,3.04,2.68,25,24,0,0,8
21,2.04,2.5,18,23,1,0,7
26,2.75,2.95,21,25,0,1,8
32,3.4,3.16,25,29,0,1,8
32,2.82,3.13,22,19,0,1,8
21,0.545,1.98,18,23,1,0,3
9,1.43,2.03,28,25,0,1,3
26,2.15,1.93,16,27,1,0,7
24,2.54,1.88,23,24,1,0,6
26,2.5,2.86,23,25,0,1,8
31,2.38,2.3,17,25,0,1,8
27,1.67,2.19,13,15,0,1,7
28,3.21,2.54,23,25,1,0,8
32,2.75,2.94,22,24,0,1,8
25,2.5,2.93,25,29,0,1,7
26,2.9,2.6,19,24,1,0,8
27,2.65,3.26,20,29,0,0,4
32,3.43,3.29,20,22,0,1,8
21,2.85,2.19,24,31,1,0,6
32,3.21,3.02,27,18,0,1,8
25,2.25,2.09,20,25,0,1,8
28,2.44,2.11,24,22,0,0,8
24,2.77,2.83,24,32,0,1,8
23,3.4,2.35,21,27,0,0,8
31,3.46,2.38,23,30,0,1,8
32,3.34,3.14,25,27,0,1,8
29,2.43,2.48,22,22,0,1,6
29,2.71,2.52,21,22,1,0,5
31,2.11,2.76,24,26,0,1,8
29,4,3.7,24,39,0,0,8
24,2.1,2.08,22,30,0,1,8
17,2.38,2.39,22,24,0,1,5
29,2.12,2.46,21,18,0,1,8
31,4,3.7,25,35,0,1,8
27,3.04,1.99,25,26,0,1,8
20,1.11,2.58,25,28,0,1,7
31,3.13,2.67,21,30,0,1,8
27,3,1.91,23,29,1,0,8
17,1.8,1.96,24,25,0,1,0
17,1.68,2.15,20,24,0,1,7
29,3,2.94,22,24,1,0,8
27,2.25,2.11,15,25,0,1,7
31,3.25,3.5,25,30,0,1,8
12,1.14,1.84,22,17,0,1,3
27,2.97,3.1,24,25,0,1,8
25,1.89,2.8,23,25,0,1,8
27,2.67,1.76,23,26,1,0,8
26,3.2,2.97,22,29,0,0,8
27,2.5,2.37,23,23,1,0,8
23,1.79,1.68,21,19,0,1,8
25,2,2.27,17,22,0,1,7
27,3.62,3.1,28,32,0,1,7
28,2.5,2.38,16,28,0,0,7
32,3.05,2.84,15,24,0,1,8
28,3.64,3.69,26,31,0,1,8
26,3.54,3.37,25,31,0,1,8
23,2.86,2.17,23,28,1,0,6
32,3.68,3.6,23,31,0,1,8
28,3.23,3.28,26,29,0,1,8
30,3.15,3.49,25,18,0,1,8
27,3.11,2.84,21,31,0,1,8
25,2.59,2.92,24,28,0,1,5
32,2.79,2.75,24,25,0,1,8
25,3.04,3.17,24,26,0,1,6
27,2.18,2.44,22,22,1,0,7
28,2.81,2.35,22,22,0,0,8
32,2.9,2.19,18,24,0,1,8
30,3.5,3.28,28,33,0,1,8
18,2.17,2.25,25,36,0,1,7
15,1.35,1.59,31,21,0,1,4
21,0.792,1.65,23,23,1,0,5
24,3.19,2.62,19,34,1,0,8
32,3.38,3.29,23,29,0,1,8
18,1.85,1.43,25,27,0,0,6
24,2.63,3.39,24,27,0,0,6
25,2.04,2.39,21,22,0,1,8
30,4,2.24,25,35,0,1,8
32,3.86,3.87,31,34,0,1,8
32,3.07,2.9,18,23,0,1,8
29,2.65,2.64,23,19,0,1,8
10,2.5,2.25,31,35,0,1,3
27,3.63,2.18,23,29,0,0,8
19,1.63,2.46,23,24,0,1,8
17,2.65,2.67,28,26,0,1,7
29,2.81,3.25,22,30,0,1,8
26,2.38,2.43,23,26,1,0,8
16,1.65,2.23,20,22,1,0,4
18,2.67,2.63,24,24,1,0,8
17,1.68,1.98,22,13,0,1,6
6,2.31,1.8,27,28,0,1,4
27,3,2.81,21,30,1,0,8
24,2.64,2.27,21,22,0,1,8
26,2,2.77,22,19,0,0,8
15,1.62,2.08,26,19,0,1,7
28,2.69,2.5,25,28,1,0,8
30,3.95,3.81,31,36,0,1,8
29,1.62,2.57,21,25,0,0,5
30,2.43,1.93,20,17,0,0,8
28,2.5,2.51,24,28,0,0,8
28,3.46,2,20,35,1,0,8
32,3.09,2.59,23,33,0,0,8
23,2.33,2.61,24,19,0,0,6
12,1.23,2.51,25,21,0,0,3
26,3.25,2.15,27,32,0,1,8
5,1.77,1.91,27,25,0,1,4
30,4,3.92,29,37,0,1,8
25,2.63,2.84,25,22,0,1,8
27,3.7,3.31,24,31,0,1,8
28,1.96,2.04,21,17,0,1,7
14,1.17,1.84,19,28,0,0,4
28,2.88,2.97,24,27,0,0,8
28,2.33,2.36,18,22,0,1,8
23,2,2.15,19,17,0,1,8
28,2.15,2,20,23,0,1,8
27,1.88,1.74,15,27,1,0,7
32,2.9,2.7,21,23,1,0,8
29,3.5,3.59,28,35,0,0,8
25,2.41,2.75,21,23,0,0,8
29,2.38,2.74,19,25,0,0,8
22,3.04,2.48,16,24,0,0,8
31,2.41,2.48,27,25,0,1,7
29,2.45,2.44,18,23,0,1,6
26,3.66,2.86,27,30,0,1,7
10,1.53,2.02,28,32,0,1,2
27,1.89,1.97,21,21,1,0,8
23,3.7,2.82,24,34,0,1,8
32,4,3.9,28,38,0,0,8
28,2.33,2.42,19,17,1,0,7
24,2.85,2.5,25,31,0,1,6
24,2,2.13,15,26,0,0,5
30,3.62,3.8,27,31,0,1,8
31,2.4,3.02,23,27,0,1,8
30,3.71,3.5,28,35,0,1,7
32,3.54,3.32,23,32,0,0,8
32,3.57,2.84,19,26,0,1,8
31,3.11,2.74,19,24,1,0,7
28,2.13,2.03,22,19,0,1,7
31,3.5,3.23,24,28,0,1,8
27,3.31,2.19,27,26,1,0,8
23,2.25,2.24,21,24,0,1,7
25,2.38,2.15,23,28,1,0,5
28,1.46,2.32,25,32,0,0,6
28,3.04,2.94,19,27,0,0,8
23,2.68,2.7,23,21,0,1,6
14,1.11,1.2,25,18,1,0,7
27,0.692,1.74,21,19,0,1,8
29,2.96,2.8,16,23,0,1,8
25,2.37,2.46,23,32,0,1,7
25,2.25,2.2,19,24,1,0,8
27,2.25,2.6,26,31,0,1,5
30,2.5,2.21,16,29,1,0,7
28,2,2.17,18,21,0,0,7
26,3,2.6,23,23,0,1,7
6,2.13,2.94,28,29,0,0,3
27,1.23,2.71,25,26,0,0,6
26,2,1.8,16,26,0,1,8
28,3.5,2.59,19,29,1,0,8
17,2,2.64,24,24,0,1,6
24,2.32,2.1,25,30,1,0,7
26,1.9,2.49,24,20,0,1,7
30,2.5,2.43,22,19,0,1,8
25,3.29,2.9,25,35,0,1,6
29,2,2.91,23,20,0,0,6
29,3.41,2.98,27,35,0,1,7
21,1.5,2.39,19,24,0,1,7
29,3.5,3.04,27,28,1,0,8
19,0.567,1.74,21,23,1,0,4
29,3.19,3.5,25,32,0,1,7
28,1.88,2.54,17,20,0,1,8
32,2,2.45,17,29,0,1,8
26,2.62,2.98,31,22,1,0,6
29,2.82,1.96,22,26,1,0,7
28,3.14,2.02,20,20,0,1,8
32,2.85,1.91,20,27,0,1,8
31,2.13,2.3,17,20,0,0,7
27,2.64,2.56,19,19,1,0,7
27,2.12,2.21,20,19,0,0,7
24,3.35,2.12,17,29,0,0,8
26,2.73,3.09,25,22,0,1,8
31,3,1.5,20,22,1,0,8
20,1.75,1.98,17,22,1,0,7
28,2.88,2.82,25,21,0,0,8
23,3.23,3.12,28,30,0,1,7
31,2.96,2.68,21,24,0,1,8
12,2.32,2.58,23,20,0,1,4
29,2.54,2.26,21,24,0,1,8
12,0.333,2.47,26,23,0,0,0
27,1.82,2.26,18,17,0,1,8
31,3.34,3.21,21,28,0,1,8
29,2.9,2.66,22,29,0,0,8
26,2.92,3,23,25,0,1,5
29,3.16,3.25,23,26,0,1,8
30,3.05,2.83,21,19,0,0,8
22,2.54,2.84,22,33,0,1,8
29,2.1,1.95,22,30,0,0,8
30,3.77,3.53,25,27,0,0,8
15,1.25,1.75,27,28,0,1,2
29,2.65,2.27,25,17,0,1,8
25,2.3,2.04,19,21,0,1,8
29,1.07,1.32,21,16,1,0,7
25,2.56,2.71,24,24,0,0,8
21,2.54,1.88,22,30,1,0,5
31,2.91,2.67,23,28,1,0,8
26,3,2.92,19,24,0,0,8
29,2.43,1.34,18,21,1,0,8
31,3.21,2.68,26,32,0,1,7
10,1.6,2.29,24,17,0,1,4
29,2.85,2.39,24,29,0,1,8
23,3.03,3.6,29,31,0,1,8
26,3.04,2.56,27,30,0,1,8
27,1.69,2.61,23,20,0,0,8
27,1.95,2.75,24,30,1,0,6
21,1.93,2.38,20,28,0,1,8
18,1.81,2.75,27,27,0,1,5
27,2.86,3.13,21,11,0,1,2
27,3.25,2.63,26,30,0,1,8
28,2.5,2.62,20,23,0,1,7
27,2.39,2.29,17,30,1,0,6
16,2.53,2.89,32,29,0,1,7
23,2.65,1.25,25,29,1,0,7
22,3.42,2.51,23,26,0,0,8
26,2.68,2.46,22,24,1,0,8
19,1.79,1.82,20,25,0,1,6
9,1.35,1.52,27,30,1,0,0
30,3.38,3,21,16,0,1,8
4,0.45,2.14,27,25,0,0,0
32,3.88,3.23,22,30,0,0,8
31,2.85,2.38,20,29,1,0,8
28,2.31,1.88,20,24,1,0,7
28,2.65,2.77,23,28,0,1,8
25,2.86,2.61,25,25,0,0,5
25,1.63,2.01,20,27,0,0,2
32,3.07,2.89,26,31,0,0,8
19,2.12,2.16,22,31,0,1,7
32,4,3.81,25,36,0,1,8
25,1.96,2,22,28,1,0,6
28,1.77,1.89,19,17,1,0,7
24,2.69,2.12,23,28,0,1,7
32,2.97,2.88,25,30,0,0,8
31,3.27,3.05,22,32,0,1,7
27,2.31,2.23,22,22,0,1,8
30,1.88,2.11,22,24,0,1,7
27,2.25,2.61,18,24,1,0,7
29,2.75,2.98,31,35,0,1,6
26,1.79,2.73,27,24,1,0,6
32,3.86,3.93,24,34,0,1,8
21,2.08,1.99,24,23,0,0,7
28,2.96,2.76,23,31,1,0,8
26,2.23,1.83,18,21,0,1,8
25,2.46,2.58,20,21,0,1,8
26,1.7,2.12,28,26,1,0,7
30,3.13,2.68,23,29,1,0,8
27,2.38,2.02,16,21,0,1,8
16,2.75,2.06,20,22,0,1,6
27,2.64,2.27,22,19,1,0,8
13,2.46,3.04,24,24,0,1,7
5,0.667,1.6,26,23,1,0,1
32,2.82,2.71,18,29,0,1,8
11,0,1.74,24,27,0,1,1
32,2.68,1.66,19,23,1,0,8
25,0.625,2.22,23,24,0,0,8
29,2.89,3.05,23,25,0,1,8
13,1.96,2.06,22,25,0,0,3
27,2.47,2.9,18,27,0,0,7
30,3.1,2.63,22,25,0,1,8
28,2.15,2.28,23,27,1,0,8
9,0.321,1.79,21,26,0,0,5
21,2.7,2.8,26,22,0,0,8
30,3.13,2.91,26,29,0,1,7
19,3.12,1.6,20,33,1,0,6
17,2.63,1.35,26,23,0,0,5
30,2.96,3.18,25,28,0,1,8
31,2.8,2.92,20,22,0,1,8
31,3.86,3.05,27,34,0,0,8
29,2.9,3.09,24,22,0,1,8
18,2.43,2.6,16,29,0,1,3
30,2.89,2.43,17,28,1,0,8
24,2.38,2.67,25,21,1,0,6
14,0.867,1.63,25,23,0,1,5
30,2.5,2.65,20,24,1,0,8
31,3.55,3.25,23,27,0,1,8
28,3.5,3.65,20,29,1,0,4
30,1.61,2.05,23,18,0,1,7
27,2.69,2.16,23,25,0,1,8
19,2.65,1.55,22,34,1,0,5
29,2.85,2.75,20,28,0,0,8
31,2.25,2.66,18,25,0,1,8
28,2.96,2.8,23,32,0,0,8
29,3.64,3.08,17,31,0,1,8
27,2.63,2.14,20,21,0,1,6
29,3.46,3.49,27,29,0,0,8
12,2,1.43,25,24,0,0,6
28,2.5,2.43,19,23,1,0,8
31,2.9,2.3,21,16,0,1,8
30,2.77,2.78,18,27,0,1,8
25,2.29,2.36,18,23,0,1,5
26,2.5,2.86,22,23,0,0,7
30,2.83,2.8,24,25,0,1,8
32,3.07,2.42,25,26,0,1,8
30,3.25,3.88,26,32,0,1,8
26,3.62,3.28,29,36,1,0,8
30,2.81,1.98,15,28,1,0,8
32,3,2.96,19,26,0,1,8
29,2.69,2.86,27,25,0,1,8
28,1.18,2.16,22,29,0,1,8
31,1.93,2.3,19,21,1,0,8
15,0.923,1.48,22,19,1,0,1
30,3.5,2.98,26,27,0,1,7
25,2.79,3.48,26,26,0,1,8
15,0.6,1.67,24,22,0,1,3
28,2.8,3.91,26,29,1,0,8
32,2.9,3.25,20,25,0,0,8
28,2.5,2.25,19,22,0,0,7
31,2.6,2.66,21,25,0,1,8
15,2.63,2.48,27,26,0,1,8
27,2.33,3.07,28,28,0,1,5
30,3.64,2.5,20,32,0,1,8
31,2.79,2.67,17,21,1,0,8
16,1.23,2.95,27,24,0,1,1
30,2.65,2.57,18,25,0,1,8
30,2.39,2.5,20,23,1,0,6
30,2.63,2.54,25,26,1,0,8
28,3.08,2.17,21,26,1,0,7
30,1.94,2.66,23,20,1,0,8
25,2.63,2.2,18,25,0,0,8
30,3.04,3.36,20,23,0,1,8
16,1.85,2.24,23,22,0,1,3
27,2.93,2.03,24,28,0,1,3
24,2.92,3.1,22,24,0,1,8
16,2.2,2,22,29,0,1,1
10,0.8,1.8,21,17,0,1,1
28,2.25,2.52,20,24,0,0,6
30,3.47,2.97,30,35,0,1,8
11,2.05,2.27,20,22,1,0,6
27,3.42,3.13,25,24,1,0,7
27,2.11,2.16,25,31,0,0,7
20,2.47,2.06,20,27,1,0,7
18,1.14,2.11,20,18,0,1,3
10,0.625,2.01,22,24,0,1,4
27,3.21,3.24,27,22,0,1,8
31,3.77,3.53,23,28,0,1,8
32,2.86,2.41,17,29,0,1,8
30,3.27,2.62,24,28,0,1,8
31,2.79,3.13,25,31,0,0,8
32,3.27,2.95,22,30,0,1,8
28,2.74,2.95,22,26,0,0,7
29,3.89,3.66,27,28,0,1,8
17,2.07,2.05,23,24,1,0,5
26,3.88,3.08,27,36,0,0,8
18,2.81,2.28,22,24,0,1,7
28,2.54,2.39,19,22,1,0,8
32,3.75,2.56,20,29,1,0,8
31,1.75,2.21,20,23,0,0,8
18,2.8,2.86,26,25,0,1,6
24,3.37,2.95,26,28,0,1,6
30,3.25,3,21,27,1,0,8
31,3.7,3.41,28,34,0,1,8
32,3.04,3,21,28,0,1,8
26,1.77,1.38,21,21,1,0,8
21,1.88,2.27,27,20,1,0,3
25,2.39,2.42,28,23,1,0,5
23,2.97,2.62,20,34,0,1,8
29,2.42,3.01,24,26,0,0,8
16,0.462,1.95,19,22,0,0,5
31,3.11,2.83,24,25,0,1,8
24,2.88,3.05,20,31,0,1,7
18,2.1,2.51,22,21,0,0,4
17,1.32,1.48,23,22,0,1,5
29,1.77,1.94,20,26,0,1,8
28,2.64,2.46,21,26,0,1,8
23,3.35,3.5,28,26,0,1,7
19,1.25,2.18,23,22,0,0,3
31,3.18,2.48,21,27,0,0,8
18,3.11,3.33,27,32,0,1,3
27,3,2.83,26,27,0,0,8
26,2.65,2.65,22,27,0,1,7
31,2.05,2.5,15,16,0,1,8
31,3.77,3.78,25,34,0,1,8
32,3.57,3.54,19,26,0,1,8
29,2.97,3.07,27,25,0,1,7
30,3.27,3.72,28,30,0,1,7
23,2.46,2.48,24,28,0,0,8
26,2.75,3.1,24,26,0,0,8
31,3.43,3.5,23,26,0,1,8
24,2.73,1.96,22,22,0,1,8
19,0.85,1.84,18,26,0,0,4
31,2.61,2.73,27,23,0,1,7
29,3.41,3.48,27,26,0,1,8
25,1,2.31,18,22,0,1,8
32,2.69,2.38,19,19,0,1,8
32,3.66,3.61,22,30,0,1,8
28,3.17,3.02,24,27,0,1,8
14,1.8,1.19,24,29,1,0,5
