salary,age,college,grad,comten,ceoten,sales,profits,mktval
559,54,1,0,22,2,2100,13,686
704,52,1,1,6,6,50,8,903
308,45,1,1,14,14,210,39,1900
1392,48,1,1,6,6,4800,51,1100
389,55,1,0,29,4,478,38,420
790,69,1,0,45,37,1200,140,3200
396,80,1,0,58,28,513,53,963
398,54,1,0,4,4,633,69,1800
707,46,1,1,6,1,130,26,1200
984,60,1,0,7,4,1500,135,1700
410,55,1,0,36,20,501,34,590
1095,60,1,1,33,5,27600,1400,17100
694,61,1,1,35,19,4200,75,1000
834,61,1,1,32,0,7600,364,5300
1630,39,1,1,8,8,227,27,822
493,55,1,1,4,1,1300,80,834
625,57,0,0,36,9,1400,87,979
483,52,1,1,18,14,1000,35,548
733,60,1,0,8,8,347,18,778
2102,67,1,1,41,20,10300,1700,45400
853,58,1,0,34,34,818,33,411
345,54,1,1,33,0,994,56,781
800,57,1,1,12,9,1800,32,479
764,55,1,1,31,16,1100,145,2100
806,59,1,1,3,3,3000,257,3900
310,40,1,0,18,1,2400,60,1300
1119,61,1,0,34,9,2500,71,1200
1287,59,1,1,4,3,4700,222,2700
1170,57,1,1,9,3,1900,208,5600
880,62,1,0,36,12,5300,229,4000
1091,33,1,0,9,9,181,36,1300
1100,65,1,0,18,6,563,-271,544
650,53,1,1,5,4,1482,40,557
607,38,1,1,7,3,231,38,599
1133,63,1,0,9,9,870,37,686
393,58,1,1,36,6,285,40,956
605,53,1,0,16,4,422,30,505
1444,59,1,1,2,2,6204,401,10700
1033,62,1,1,30,1,5400,478,7300
1142,50,1,1,11,3,2600,166,2200
537,46,1,1,20,20,1200,17,669
693,42,1,0,17,12,1400,206,3000
439,57,1,1,26,12,2600,280,3800
358,64,1,0,43,11,584,45,423
1276,64,1,0,41,17,635,52,1300
873,41,1,1,2,2,149,21,567
537,57,1,1,35,1,11400,210,4800
713,57,1,1,12,2,1600,55,1300
1350,68,1,1,5,5,3300,92,2100
1268,47,1,0,20,4,1100,47,2500
465,64,1,1,31,3,2400,326,2400
693,46,1,1,7,3,2200,44,533
369,49,1,1,4,1,65,-132,1200
381,54,1,0,30,2,2700,386,4500
467,49,1,1,13,0,513,49,534
559,57,1,1,34,16,605,56,653
218,57,1,1,33,5,504,41,421
264,63,1,0,42,3,334,43,480
185,58,1,0,39,1,766,49,560
387,71,1,1,32,13,432,28,477
2220,63,1,1,18,18,277,-80,540
445,69,1,0,23,0,249,31,828
