lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11
8,2822,91.3,4955,36954,11545,8.6,72.7,23.9,50.9
8.1,5491,98.4,4526,34499,7398,8,73.8,39.2,45
8.2,2331,120.5,6618,37519,8973,1.4,100,22.9,57.1
8.3,4725,95.7,5195,39481,8348,5,87.3,27.8,64.6
8.4,2629,102.5,4684,33867,6924,3.2,94.7,36.9,67.1
8.4,2475,119,5516,34520,5671,0.2,98.9,37.3,58.4
8.5,1278,94.5,3675,27955,6073,1,94.6,21.3,65.5
8.6,8016,95.4,4635,36461,6841,0.3,98.6,48.7,57
8.7,913,95.2,4006,31204,5277,3.2,87.4,34.2,45.8
8.8,891,93.7,4291,34105,6387,0.8,88.5,32.8,51
8.8,5125,102.8,4759,34315,6892,7.1,82.8,33.2,39.4
9,3263,101.7,3901,28948,5262,4.4,82.7,31.7,58.3
9.1,444,111.3,4288,26682,4346,2.5,89.4,20,44
9.1,10591,107,5794,39982,7680,0.7,92.6,28,39.9
9.2,13684,96.1,6838,52812,10706,4.4,80.6,23.4,65.4
9.3,5926,107.8,4037,28053,5076,61.9,80,42.9,69.9
9.3,2100,103,5115,37112,7451,3.2,83.8,16.8,71
9.4,669,105,4249,36183,0,0,100,30.9,47.7
9.5,1789,83.2,4308,36622,8429,4.3,79.4,16.2,40.4
9.5,2674,89.6,5562,45358,9871,3.3,94,23.6,49.6
9.6,2405,99.4,4353,33341,6605,3.9,87.2,18.1,60.4
9.6,891,150.1,6810,32197,6281,3.5,87.5,30.5,61.8
9.7,2933,89.1,3561,29504,5488,11.8,72,28.1,51.2
9.7,1617,104.4,3927,27192,4953,1.8,93.4,25.5,51.3
9.7,3341,95.6,4806,35247,8736,8.5,81.5,35.1,71.1
9.7,4132,80.1,5461,48782,11618,1.1,94.8,47.7,58.8
9.8,4077,83.4,3930,36440,7152,1.4,101.3,26.8,54.4
9.9,4776,94.9,4453,34863,7764,2.3,91.1,26.8,51.3
10.2,734,85.8,4158,34491,6178,1.1,95.7,25.5,54.7
10.2,4242,81.4,5054,45447,10017,3.2,87.2,32.2,58.1
10.3,3299,68.9,3332,36045,6484,0.1,101.5,36.6,71.1
10.3,511,104.7,4700,33949,6559,1.6,97.7,37.8,52.8
10.4,10571,81,4333,39643,8234,1.2,95.3,23.4,42.6
10.5,1837,95,5350,40188,7982,1.9,89.6,31.3,42.2
10.6,3003,108.4,4513,29773,8060,5.5,81.9,12.7,47.8
10.6,3233,95.9,5622,41122,8913,2.4,90.4,20.4,63.3
10.7,2718,82.6,3495,32759,5749,0.7,96.3,33.3,47
10.7,3003,123.9,5987,34410,8602,1,95.4,20.7,50.5
10.8,4528,81.5,4007,35302,8796,1.6,94.1,19.7,60.9
11,2789,96.3,4747,35987,7223,2.2,91.7,25,37.5
11.1,2625,94.7,4849,38399,6853,2.9,92.7,24.3,53.8
11.1,3268,122.6,6539,37911,9491,4.7,92.4,32.5,63.3
11.2,1767,92.1,5026,37600,8619,1.7,94,25.8,61.8
11.4,5005,95.8,4575,36170,7653,0.9,94.9,29.8,52.9
11.7,1135,103.3,4306,30977,5684,4.1,84.4,16,65.7
11.7,3427,97.5,4401,34143,6032,2.4,81.9,38.8,52.1
11.9,2504,94.2,4142,32191,5972,2.5,87.8,23.6,34.9
11.9,1882,106.5,4521,30604,5950,1.5,102.8,23.7,36.8
12,2054,93.9,3804,29280,5659,4.5,80.9,18.9,52.5
12,3707,97.9,4117,31687,4619,2.9,89.3,31.6,50.3
12,2963,91.3,4527,34700,7032,7.1,74.6,33.3,67.9
12.3,3210,103.3,4256,32041,5454,3.8,85.5,23.3,53.2
12.4,760,108.1,4200,28166,5447,0.5,97.9,25.4,62.9
12.5,7653,114.6,7034,45252,9451,5.2,81.3,29.6,52.6
12.6,1039,95.2,4133,32029,7284,1.4,94.8,13.5,54
12.6,3084,93.4,4252,34045,6831,4,84.2,24.1,57.6
12.9,2656,112.7,4162,27561,4819,0.6,97.3,24.3,53.7
13.1,1860,92.3,3865,32436,5681,4.5,82.9,14.8,48.9
13.1,808,88,4326,34730,7508,22,85,29.8,49.4
13.1,4704,118,4373,28149,4244,5.8,77.7,18.7,43.1
13.1,4521,99.3,5793,43840,8648,4.7,83.5,25.9,54.7
13.2,2423,100.7,4385,31731,6265,2.7,89.2,32.9,59.1
13.3,2774,91.3,4475,30860,8435,1.4,86.3,37.2,41.2
13.4,4903,85.7,4016,35770,6927,1.2,95.3,23.6,50.9
13.7,4941,91.8,3788,31261,6159,4.9,80.9,16.3,51.4
13.7,4913,108.1,5438,36416,8170,6.1,76.9,25.5,53.8
14,4305,89.9,4433,37855,8009,1.6,93.5,12.4,52.9
14.1,3376,90.6,4244,34768,6635,1,96.5,31,55.6
14.1,682,110.3,4287,27372,4893,1.7,88.7,30.2,60.3
14.2,1824,96.9,5044,39102,6781,0.6,97.4,40.1,55.5
14.3,1663,93.8,4033,31964,5555,2.6,89.2,27.6,48.8
14.4,1480,101.3,3698,26779,5054,2.1,94.4,30.5,54.3
14.4,1844,102.5,3910,27930,4956,0.8,96.5,21.1,41.2
14.4,2221,113.5,4910,31839,6078,8.4,69.9,14.5,35
14.7,2064,106.3,3945,27519,4627,8,76.7,20.5,74.5
14.7,3434,99.9,4197,31407,6018,0,100,32.2,52.6
14.8,1647,99.9,3710,27444,5156,6.7,75.4,21.5,50.7
14.8,2670,100.8,3977,28877,5766,1.9,92.8,24.5,58.2
14.8,5759,103.6,4952,35558,7394,3.3,84.9,30.7,48.4
14.9,8201,93.3,5383,42811,8499,2.6,90.4,27.2,44.7
15,3087,93.9,4139,32434,6834,6.7,76.9,24.8,48.7
15,1689,95.2,4186,32839,5724,8,72.7,24.8,61.4
15.2,3626,96,4243,31543,6928,5.8,71.5,26.8,38.8
15.2,3394,86.9,4366,36621,7605,3.8,87.6,18.3,67
15.2,8777,114.7,5710,39440,6260,5.1,77.9,43.9,44.5
15.3,4350,97.5,4500,34474,7904,6.1,80.1,17.9,42.9
15.3,2170,95.7,5895,45158,9354,2,94.3,19,30.1
15.7,946,102.5,4122,29757,6229,1.1,94.3,30.6,49.2
15.9,899,111.8,4239,28032,5670,1.5,86.1,18.9,49.2
16,2363,102.1,3905,29280,5535,3,89.2,25,45.9
16,2553,98,4752,34471,6622,6.9,90.8,12.6,49.5
16.2,3480,92.7,3893,29898,7158,1.9,78.9,14.4,51.9
16.3,1766,86.7,3901,33501,6882,12.5,58.3,18.3,46.8
16.3,4192,104.3,4206,29238,6402,12.1,58.9,26.6,44.1
16.4,412,99.5,3786,27973,5076,14.4,41.2,12.5,50
16.4,1480,89.2,3788,32159,6038,4.6,83.2,33.3,57.4
16.4,1068,96.3,4250,31114,6115,3.6,83.9,29.3,51.9
16.5,1168,82.6,3688,33179,6134,2.6,89.8,23.5,61.3
16.7,894,94.7,3848,30131,5482,3.4,96.7,17.6,41.3
16.8,666,104.3,4336,30979,6065,11.9,63.5,2.4,61.5
16.9,964,101.3,3799,27929,5061,1.2,94.2,29.2,39.9
17,4035,90.1,4282,34134,8138,1.6,92.5,19.7,33.8
17.2,1122,104.3,4664,29925,9769,3.8,88.2,23,51
17.3,1623,99.5,3694,26891,5070,19.4,33.5,33,36.7
17.3,1491,95.9,4147,32021,6415,5.3,89.3,23.7,45
17.3,1765,118.4,5847,35802,7984,11,62.5,15.4,59.2
17.5,2195,80.1,3659,32798,7244,1.1,95.5,32.7,45.8
17.8,880,83.8,4258,36780,6879,0.9,95.8,25,59
18,1655,96.7,3632,27905,5420,2.9,88.1,28.7,31.3
18,3480,99,4278,29504,5524,2.5,86.4,11,51.1
18.1,1327,105.3,5327,36803,8300,4,84.7,23.5,45.8
18.3,1551,101.2,3933,28826,5462,3.5,86.9,26.8,61.1
18.3,5344,104.1,4560,31908,6711,3.9,86.6,28.9,64.2
18.4,1210,95.2,3730,28806,5903,3.9,85.2,15.9,40
18.4,222,122.5,5365,32249,6275,11.3,61,53.8,39.6
18.5,1165,104.7,4314,30871,3957,0.3,98.9,15.4,55.9
18.5,1026,110.9,5394,34966,7329,4.1,84.7,39.7,53.3
18.7,1601,92.4,4697,36350,8674,1.6,97.7,16.4,50
18.7,594,123,5738,33763,6884,3.8,82.8,29.7,49
18.9,2395,96.7,3725,28556,5473,2.8,88.5,23.4,59.3
18.9,9044,83.3,4732,40030,7568,3,85.1,12.1,41
19,1260,114.6,3571,22778,4368,5,85.2,10.8,65
19,1242,109.5,3984,25676,5256,5.4,84.9,25.3,62
19,5014,84.6,4054,33209,10417,0.8,96.7,34.7,71.1
19,14570,142,6931,37133,6907,2.3,92.9,50.5,73.6
19.1,7563,107.8,5106,34946,6732,3.3,86.6,42.7,48
19.2,1564,95.3,3979,29347,6011,3.7,86.8,11.3,61
19.2,10662,123.2,5031,32288,5174,6.1,76,21.7,46
19.3,2295,90.9,4450,36097,4944,12.1,69.1,19.5,66.2
19.4,3976,121.4,6180,39151,7532,3.6,86.4,50.2,46.3
19.5,2832,86.4,3800,31593,6015,5.3,80.6,27.4,41.1
19.6,2040,85.8,4288,34986,8664,2.9,89.6,23,42.9
19.6,2865,114.7,5308,34461,6288,1.3,95.2,17.3,53.7
19.7,2754,89.8,3667,29729,6132,4.3,83.5,27.6,56.4
19.7,2602,81.7,4280,36881,7177,1,98,10.9,55.5
19.8,2066,87.9,3866,31780,7243,0.5,98.8,42.5,53.8
19.9,3044,95.9,4108,31778,6171,3.7,85.3,31.6,37.5
20,2255,89,3799,31766,5646,4.3,84.4,23.9,60.7
20,2580,96.7,4347,31204,6724,7.2,76,33.2,61.7
20.1,2630,87.5,3782,32349,7467,1.3,95.1,25.3,61
20.1,3461,95.1,3932,31773,6123,2.9,88.9,24,34.8
20.1,2593,119.5,6947,42580,9196,2.1,90.2,22.6,50.6
20.2,2428,85.6,3624,32489,6429,5.7,78.8,21.4,66.7
20.2,740,115.9,4005,24887,5451,6.7,77.2,9.8,42.2
20.3,1703,97.1,4012,29820,6696,1,96.3,37.5,42.6
20.3,5046,104.8,4389,31147,5505,2.7,90.2,16.7,66.7
20.4,1818,92,4078,32288,6592,5.1,82.3,21.7,40.8
20.4,3830,96.1,4178,32138,7018,6.8,74.8,27.2,33.3
20.4,1119,100.5,4382,30872,6449,9.7,69.3,10.4,51.2
20.5,2102,99.4,4002,30472,5901,3,88.3,16,43.9
20.6,1499,89.9,3703,30054,5845,2.3,90.6,22,55.8
20.9,3016,94.5,3555,28426,5130,11.8,73.3,19.7,54.8
20.9,4797,86.3,4533,39470,7502,5.6,81.1,21.8,51.6
21.1,2840,95.9,3894,30825,4955,0.8,93.7,26.3,32.5
21.3,7003,109.3,4196,29281,4932,2.9,89.9,14.8,39.5
21.6,1750,91.5,3822,30753,5831,5.5,77.9,12.4,42.9
21.6,3945,91.5,3872,31051,6155,7.6,71.5,28.4,43.3
22,1712,91.5,3782,30477,6437,2.5,89.1,13.2,47.1
22,1202,100.7,3989,28791,6499,7,94.1,25,68.8
22.1,1305,93.6,3654,28684,4883,6.6,76.5,19.2,48
22.1,2624,89.4,4248,34944,6456,5,82.3,20.6,46.5
22.3,1438,86.2,3776,31243,5455,16.2,48.2,16.7,55.3
22.3,4306,93,4188,32325,7471,0.5,96.7,27.1,53.8
22.3,757,91.8,4552,34259,7339,1.5,93.3,42.3,40.1
22.6,967,89.4,3616,28851,5279,26.9,77,36.8,52.5
22.6,3959,95.1,4039,31903,7282,2.2,94.8,24,36.5
22.7,943,99,4040,30668,6446,2.9,83.8,27.9,37.5
22.9,1889,88.2,3425,28223,5183,6.3,96.4,26.1,53.3
23,10761,107,4228,29637,6021,0,98.7,31.7,49.6
23.1,1943,95.7,4214,30400,6867,8.2,70.8,18.8,36.4
23.2,1055,86.1,3487,29107,6243,4.1,86.3,24,49.4
23.4,913,92.7,3894,31477,5993,7.1,76.2,36.8,69.8
23.6,602,104,3610,25688,4105,8,72,11.6,41.3
23.7,917,113.4,3975,26670,5450,5.1,82.3,18.6,46.7
23.8,598,100.3,3728,26108,5060,4.5,86.1,18.8,56.8
23.8,1102,113.4,4140,25537,5513,7.3,72.9,16.2,30
23.9,297,124.6,3874,20951,5061,5,92,8.3,57.3
23.9,1802,94.3,4097,32210,7412,1.9,93.8,34.1,56.3
24.1,4065,94.3,3864,30693,5539,2.9,95.9,21.8,46.6
24.2,2910,86.4,3828,32625,6030,5.4,82.1,19.7,58.6
24.2,1285,85.6,3918,33074,6747,4.7,81.5,4.3,46.3
24.3,2031,85.7,3438,29765,6074,1.6,94.4,26.5,44.1
24.3,6901,100.6,4846,34244,6601,6.2,77.5,14.3,42.8
24.5,2347,84,3990,35615,7000,5.2,91.2,21.1,58
24.6,1161,88.7,3698,29386,5459,3.4,87.7,35.2,47.6
24.7,1164,102.4,4535,30762,8068,14.7,51.8,23.5,33.3
24.7,672,131.9,5680,31681,6287,1.4,127.1,8.3,33.8
24.9,1285,83.1,3566,32371,5977,9.8,65,20.4,29.7
25,1723,101.9,4617,32332,6712,2.3,89.4,16.3,43.2
25.2,930,107.2,4102,27654,5531,1.2,95.1,27.4,45.7
25.2,507,108.7,4166,28078,5756,4.7,81.8,22.2,56.1
25.2,1072,94.8,4647,33219,8430,3.5,86,5.8,50.8
25.7,1362,97.8,3751,28406,5444,9.2,70.8,19,41.7
25.9,914,90.5,4334,36055,7074,2.1,90.1,19.2,40.3
25.9,6220,82.6,4863,44109,8893,6.2,76.2,15.1,75
26.1,626,107.5,4551,30050,6777,0.6,97.3,20.6,35.6
26.1,7252,95.7,4579,35200,6729,6.5,70.8,22.1,42.9
26.3,747,100.9,3666,26186,5082,14.6,54.8,12.2,80
26.3,1179,103.5,4534,32610,5502,7.6,71.7,26.3,51.1
26.4,1610,94.1,3939,30651,6082,5.8,78.3,22.5,49.4
26.6,2528,90.9,4136,34972,5892,7,40.5,30.3,46.3
26.7,2150,91.6,3819,31781,5744,13.4,58.6,23,34.3
26.7,3505,82,4087,36695,7297,7.9,73.8,11.9,58.1
26.9,2246,101.5,3791,27743,5746,2.4,91.6,36.6,46.5
27,5174,99.4,5137,38536,8005,8,73.2,24.4,38.2
27.1,1033,105.3,4000,27984,5349,1.7,95.5,23.6,38.5
27.2,2580,81.4,3745,34252,7423,9.6,70.4,16.4,75
27.2,1234,90.3,3808,30639,6148,0.5,97.7,60.6,41.2
27.2,4630,85.8,3839,33562,6222,4.8,81.6,24,45
27.4,1447,96,3515,25726,6010,6.3,73.9,16,56.4
27.4,1765,90.7,3613,28211,5304,3,76.4,27.5,55.6
27.4,273,108.1,4169,27335,5567,7.5,75.3,44.4,58.9
27.5,2375,90.8,3574,28192,6440,12,56.3,24.7,37
27.5,1134,97,4003,28226,6572,6.6,77.2,15.4,53.7
27.7,1858,85.3,3718,30685,5617,2.8,90.9,23.7,60.5
27.7,2030,90.1,3827,32090,6314,2.8,86.7,26.3,41.3
27.7,2163,116.2,4316,26528,4724,3.1,95.8,29.1,38.2
27.7,1415,96.5,4413,34321,6535,1,91.3,25.6,47.2
27.8,1575,90.4,4036,33160,6770,6.6,77.2,21,53.3
27.9,1440,80.8,3763,32462,7004,0.5,97.7,37.8,53.2
27.9,2692,95.2,4380,33707,7681,3.1,88.5,38.2,22.1
28,2137,116.3,5945,37121,8160,6.5,86.9,10.1,25.2
28.1,2517,109.3,7419,47131,9103,15.3,80,15.5,41.5
28.3,1047,108.4,3808,24994,5040,2.9,89.9,16.7,60.4
28.6,995,88.7,3735,30181,6832,1.2,99.6,16.4,52
28.7,888,99.7,3745,27857,5835,4.4,86.8,26.7,52.7
28.7,2009,103.2,3991,28857,5318,7.5,78,17.4,44.4
28.7,390,115.4,5090,31585,6163,7.8,73.3,48,22.5
29,1646,90.2,3447,27571,5621,3,90,34.1,43.6
29,10971,91.3,3945,31404,6412,4.3,75.4,19.8,37.9
29,894,89.5,4026,31690,7146,4,86,34,29.1
29.1,1084,89.5,3479,28092,6367,6.4,77.5,39,60.4
29.1,1827,93.1,3679,29771,6090,0.7,97,19.3,35
29.2,1100,112.4,4024,25981,4953,6.5,73.6,20.5,41.4
29.3,3271,96.6,3698,28806,5103,10.6,63.4,14.8,62.7
29.4,1215,84.5,3613,28025,5676,0,100,30.6,64.6
29.5,984,75.4,3651,29861,6860,2.3,86.4,17.9,35.9
29.6,1204,99.2,3813,28023,6010,4.1,95,8.5,52.7
29.6,751,104.1,4128,26711,7661,1.6,92.7,20.6,43.3
29.8,13932,88.2,4236,35866,7831,2.3,91.2,18.8,48.6
29.8,5497,110.4,5179,34502,7209,6.5,76.8,27.9,29.7
29.8,2928,86.5,5416,45755,10748,2.3,92.1,18.2,41.2
29.9,2606,97.2,3686,28609,5397,8,71.3,24.6,76.9
30.4,1480,108.7,4082,26778,5647,16.4,43.6,22.4,76.2
30.6,1969,101.4,3710,27710,5137,14.5,54.1,30.3,62.5
30.7,2689,101,4702,33897,6432,5,82.2,31.2,61.4
30.8,3005,100.2,4130,29947,6890,2.7,87.9,25.4,49.7
30.9,5945,94.3,3765,29419,6313,6.9,70.5,20,59.1
31,538,101.6,3724,25097,5641,1.8,89.7,32.3,37
31.1,739,95.1,3921,27678,5549,4.7,82.2,20,71.7
31.1,1736,103.6,4450,31501,6170,7.5,45.7,21.2,53.6
31.1,450,111.5,5615,36691,7563,3.5,86,36.7,52.9
31.2,1144,87.6,3979,32736,6185,5.6,78.3,27.8,41.7
31.3,1514,109,3954,24554,6198,0.3,98.9,20.6,48.3
31.3,382,100.6,4421,31455,5720,0,100,32.3,67.7
31.4,570,109.1,3956,25987,5323,4.4,79.6,31.3,42.1
31.5,533,120.1,5403,31845,7057,6,77.6,45.5,41.7
31.7,1991,97.7,4222,32392,6240,4.7,82.2,22.1,35.4
32.1,1980,96.9,3676,28072,6196,5.5,81.1,22.4,38.4
32.2,1615,98.5,3743,27091,5295,1.1,95.8,31,50.6
32.2,2475,92.2,3814,28535,7562,3.9,85.3,27.9,57.7
32.3,2074,100.4,3905,28458,5306,1.8,93.7,32.9,41.9
32.3,2482,101.9,4085,29304,6312,0.6,96.4,17.9,45.5
32.3,491,112.8,4643,29865,6678,3.5,86.3,36.7,33.5
32.3,13608,111.8,5869,38848,6310,6.7,75.8,22.1,42.5
32.4,5045,87.3,4436,36785,7510,7.7,66.5,26.2,52
32.5,1067,102.8,3538,24739,4848,4.1,86.4,17.5,39.3
32.5,3839,84.9,3695,31917,6668,6.3,76.1,27.1,27.6
32.6,471,125.4,4201,24768,4374,4,84.7,11.6,40.9
32.9,1119,99.4,3507,24907,6549,2.3,83.8,24.1,37.2
32.9,5466,127,6641,37728,6366,6.5,77,29.3,55.4
33,1222,89,3833,31408,5680,3.7,83.6,25.6,41.9
33.2,578,88.9,4260,34342,6741,3.5,91.6,26.2,66
33.2,753,107.4,5123,33396,8237,3,88.6,17.2,48.6
33.4,1643,103.2,4246,29831,5755,6.7,76.1,18.4,36.4
33.6,2506,89.8,3569,30196,6386,2.8,87.8,27.1,70
33.6,271,166.6,6577,27490,6355,2,92.6,25.8,46.5
33.8,2171,87.6,3396,28998,5010,5.2,77.6,16.2,41.2
33.9,729,99,4452,31793,7201,0,98.4,10.3,40.7
34,2311,104.9,3605,20394,9177,6.5,74.2,13.8,53.8
34,883,94.8,3697,27371,6827,0.4,97.9,29.5,53.7
34.1,621,94.9,3786,29217,6661,2,89.9,29.8,33.3
34.1,424,117.3,4181,26582,4871,2.3,93,12.2,37.8
34.2,1470,87.1,3621,29769,6641,2.1,91.3,9.8,54.4
34.3,991,107.5,4109,28046,5819,11.6,64.4,9.8,36
34.3,12605,105.5,5259,36427,8096,10.9,62.9,9.4,48
34.5,4572,108,4552,30751,6887,5.3,86.6,18.7,48.4
34.6,575,113.9,3751,22242,6284,2.2,91.8,15.4,52.5
34.8,1173,116.7,3817,24134,5171,5.3,82.5,20.7,51.5
35,1337,97.3,3996,29100,5908,2.1,91,44.8,41.2
35.1,519,93.2,3943,34167,0,0,100,14.3,36.7
35.4,3334,119.2,5872,35022,8116,5,82.6,5.2,60
35.4,226,162.8,6444,26653,8191,0,100,66.7,64.9
35.5,1647,110.8,3903,25636,5245,1.7,97.2,21.1,31.6
35.6,747,85.8,3568,30047,6299,0,97,26.1,54.8
35.6,1698,91.1,3664,29148,6267,3.2,92.2,23.7,47.4
35.8,757,110.4,3689,23969,4960,6,82.8,11.9,85.7
35.9,282,131.2,6563,35689,6112,4.5,84.4,38.9,48.6
36.2,1419,107,4054,27629,5509,0.6,97.5,15,31.7
36.3,2480,108.5,4414,28631,5458,3.3,110.3,8.5,28.5
37.3,2839,96.8,3422,24709,4979,8,72.1,27.5,56.5
37.3,398,104.3,3559,25023,5248,2.9,101.8,38.5,45
37.6,507,96.4,4092,30203,8628,1.7,95.1,22.6,44.1
37.7,2491,93.5,3779,35782,313,3.7,85.8,12.4,34.9
37.9,8187,99.9,4511,30755,5501,4.2,85.6,18.1,31.3
38,332,98.3,3739,27420,6404,6.1,75.1,38.9,73.7
38,541,106.7,4005,25649,6151,1.9,95.1,12.1,29.3
38.1,9105,99.7,4757,31837,6530,4.3,81.6,21.4,19
38.1,624,125,4970,31289,4573,11.8,58.7,18.9,44
38.3,2011,90.7,3912,30081,6134,1.3,95.2,20.5,41
38.6,1199,103.8,3947,28278,5841,9.9,66.5,33.3,18.2
38.6,507,118.3,4327,24850,4818,5.4,81.5,10.3,49
38.7,434,122.7,4327,23039,6908,2.9,89.7,10.5,33.3
38.8,1874,110.3,3685,24270,4479,0,94.8,15.3,45
39,3349,90.9,3700,30093,5728,14.6,51.3,15.3,55.6
39,340,140.2,4763,23414,4898,0,100,13.8,42.1
39.2,799,98.3,3873,27418,5210,3.7,85.5,27.8,48.6
39.2,1100,99.7,4809,34361,8532,10.6,64.7,28.8,70
39.3,2901,94.1,3697,29570,5843,5,81.8,18.8,34.5
39.4,2115,106.2,5602,38323,8338,5.3,79.8,19.3,41.7
39.6,2135,88.7,3825,29940,5886,14,53.8,17.7,55.1
40,2060,97.7,3700,27904,6598,0,99.3,22.5,44
40.3,3762,82.8,4261,37806,8776,3,76.2,24.8,33.3
40.5,1887,143.6,5625,27932,5430,8,66.3,17.7,44.7
40.6,1492,91.5,3548,27586,5794,0.9,96.3,12.9,45.5
40.6,1828,91.9,4018,27712,6115,20,43.6,25,51.4
40.6,668,121.3,4075,27568,1644,0,100,12.5,30.8
40.7,878,97.5,4447,32056,8288,4.8,85.5,16.3,57.9
40.8,481,121.3,4520,25817,6724,3.6,85.5,22.2,53.6
41.1,333,80,3415,29705,7434,4.7,81.1,25.9,65.3
41.7,1204,117.7,4622,29090,6170,11.3,64.6,11.8,34.7
42.3,1604,103.2,3784,25860,5124,10.5,57.5,17.4,32.8
42.3,1174,100.2,3933,28810,6534,4,90.8,20.3,44.4
42.3,1244,106.1,4019,27218,7133,5.7,80.2,14.3,50
42.4,1789,112.7,4377,27624,5998,4,84.7,15.6,46.7
42.7,212,120.3,3824,21674,5179,0,100,18.8,34.1
42.9,385,118.2,4376,25247,7028,3.7,88.6,17.4,62.7
43.6,2139,89.7,4220,31949,9151,0.7,115.7,16.3,39.5
43.9,12105,111.7,5288,34195,7350,8.6,68.7,21.9,53.6
44.1,524,99.2,4143,28138,4668,2.1,83.1,15.4,35.7
44.1,2005,99,4196,29648,7385,7.9,71.6,15,47.1
44.4,336,101.5,3706,26444,5007,18.4,44.4,21.7,47.8
44.9,546,109.9,5229,31384,9524,10.5,63.4,14.6,56.4
45,1813,65.9,3824,42255,9704,0.5,98.1,44.2,46.7
45.1,412,112.6,4042,27486,4734,2.9,88.4,15.4,42.4
45.1,1330,108.6,4337,25924,8442,4.4,85.5,17,36.5
45.1,6931,98.7,4762,36566,5461,4.2,83.5,16,45.5
45.2,4254,108.7,4759,32155,7390,3.1,88.5,7.3,71.8
45.4,1686,86.6,3520,29629,6608,4.3,83.8,37.1,25
45.7,394,115.8,4048,23700,5344,1.3,94.8,26.8,31.7
46,761,113,4594,25083,5193,8.6,70.1,6.1,42.9
46.2,358,120.9,4814,27930,6327,4.6,78.5,22.9,9.6
46.7,2210,96.8,5717,42575,8109,5.2,74.9,14,44.4
47.9,13454,129,5532,30501,7879,11.8,56.9,6.6,37.3
48.3,1656,110.1,3859,25964,5244,8.6,70.5,8.2,44.6
48.3,1448,112.9,3933,25529,5537,3.2,87.7,18.1,46.7
48.4,759,106.7,3867,25711,5275,10.4,66.3,23.2,45.7
48.4,590,111.8,3888,25482,5046,1.3,92.5,23.5,46.4
48.5,303,108.9,3677,24058,5252,0,100,33.3,41.4
49.2,488,89.9,3614,29290,7102,0.8,96.6,30.6,62.5
49.7,626,110.2,4074,26480,5831,2.1,94,20,28.6
49.9,852,123.3,3551,20524,4959,9.3,67.8,4.4,44.9
51,1266,90.6,3738,30007,6500,13.2,59.3,16.9,44.3
51.2,1964,78.7,3970,34849,7085,8.5,65.2,14.5,27.8
51.2,9166,101.8,4980,35414,7175,6.2,76.5,11.2,50.3
51.6,14733,107.3,4971,35024,6276,2.6,76.5,10.2,55.1
51.7,865,103.5,3810,26470,4947,9.7,66.1,15.2,63
52.3,1668,104.9,3725,25984,5393,18.9,42.2,16,62.5
52.9,688,109.7,3628,23437,5607,4.8,82.1,30,46.5
54,702,131.4,6057,34291,7245,18,44,15.5,39.1
54.3,2171,92.3,3683,28518,7027,11.1,65.6,4.9,26
55.2,2264,118.7,4657,29398,5758,7.2,72.5,20.3,44.4
55.9,820,86.9,3750,28349,6760,9.8,66.5,1.9,9.3
56.8,1658,126.4,5661,32825,5942,31.9,65,5.8,71.4
59.9,363,134.8,3818,19764,4734,16.5,53.4,5.9,26.5
60.9,1689,78.4,5380,41856,9468,35.8,23.5,7,11.2
61.1,2631,100.7,5088,35020,7655,17.5,61.1,8.1,22.7
